ID,Movie_Name,Movie_Score,Review_Count,Movie_Star_Distribution,Collect_Date,Username,Post_Date,Score,User_Comment,User_Comment_Distribution,Comment_Like_Count,Movie_Tags
9160,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,bloom,2007-11-11,4,煽情的爱情片,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9161,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,開膛手傑克,2015-09-13,4,非這樣不可嗎？非這樣不可……的一個搞不清楚是不是杜撰的來由,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9162,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,小蚂蚁sarah,2011-04-02,4,"try 2 bliv that the another half perhaps will not b along with us physically but eternally in our hearts.yet if he is ur the one, must it b?",76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9163,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,凡提柯基,2007-11-23,4,“初恋无限美”适用于一切女人和正太=_=,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9164,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,心浪网友萧剑仁,2014-05-28,5,你不听贝多芬.你知道你失去了什么？,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9165,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,迷醉小酒窝,2017-11-10,5,情圣贝多芬，无论你多么爱我，我永远爱你更多。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9166,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,soamelie,2015-11-06,5,我不认字儿的时候会弹的世界名曲就是欢乐颂啊！电影里欢乐颂那段实在太高潮了，触发想要不计一切代价的欲望。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9167,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,八八十,2013-05-20,4,虽然全片基本都在扯淡但看到贝九公演那还是哭成狗了•̩̩̩́ ˑ̫ •̩̩̩̀,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9168,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,喜悦小姐,2011-05-02,5,Gary演的太好了,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9169,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,牧鱼,2010-12-13,4,这是部关于爱情的电影，但是不是关于贝多芬的电影。影片的情节处理不错。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9170,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,蓝亦珣,2017-12-21,4,4星 毕竟结局谁也不知道究竟哪个是真正的爱人 弟媳的猜测还是合理的吧 但我就是不喜欢她啊 好喜欢伯爵夫人啊hhh长得美 另外觉得贝多芬在生活上不是一个成熟的人 他是个浪漫且多情的人 也许正是因为如此经历才造就了他的音乐 那部分的成熟都给了音乐/因为热情和月光爱上他,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9171,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,无脚鸟,2010-08-04,5,"五颗星全给Gary Oldman, 表演出神入化！",76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9172,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,MariahQQ,2009-10-09,4,大胆，精致，细腻，敏感，瑕不掩瑜的疏忽。第一次体会到贝多芬的绝望~~~~,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9173,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,joan,2016-01-31,4,没莫扎特传好，平淡的传记片，靠音乐和对音乐家的热爱坚持看完，去掉了这些还不如娱乐圈八卦精彩,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9174,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,俊凯妈妈,2011-06-14,5,"因为爱Gary Oldman，所以他的一举一动都爱看。。
可能别人演的话，我根本都不会看完这部片子",76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
